"question_clean","answer_clean"
"Нужно купить мышку и Type-C док-станцию для ноутбука. Где такие вещи можно приобрести в одном месте? Mediapark, Texnopark? Хорошо бы, если бы в одном месте было несколько магазинов, чтобы можно было всё посетить.","Малика"
"Нужно купить мышку и Type-C док-станцию для ноутбука. Где такие вещи можно приобрести в одном месте? Mediapark, Texnopark? Хорошо бы, если бы в одном месте было несколько магазинов, чтобы можно было всё посетить.","Тут оптовые цены — посмотрите на прайс сразу."
"Нужно купить мышку и Type-C док-станцию для ноутбука. Где такие вещи можно приобрести в одном месте? Mediapark, Texnopark? Хорошо бы, если бы в одном месте было несколько магазинов, чтобы можно было всё посетить.","Я тут всё купил — задолбался по магазинам ходить, искать монитор."
"Нужно купить мышку и Type-C док-станцию для ноутбука. Где такие вещи можно приобрести в одном месте? Mediapark, Texnopark? Хорошо бы, если бы в одном месте было несколько магазинов, чтобы можно было всё посетить.","Мышки в"
"Нужно купить мышку и Type-C док-станцию для ноутбука. Где такие вещи можно приобрести в одном месте? Mediapark, Texnopark? Хорошо бы, если бы в одном месте было несколько магазинов, чтобы можно было всё посетить.","Переходники в"
"Нужно купить мышку и Type-C док-станцию для ноутбука. Где такие вещи можно приобрести в одном месте? Mediapark, Texnopark? Хорошо бы, если бы в одном месте было несколько магазинов, чтобы можно было всё посетить.","



"
"Я тоже задавался таким вопросом: для получения ВНЖ нужно находиться в стране более 180 дней в год. Покупка недвижимости или движимого имущества предполагает выплату налогов, которые для неграждан на порядок выше. Кроме того, валютное законодательство может привести к блокировке счетов. Вопрос: как быть в таких ситуациях?","Не понимаю, зачем ВНЖ и покупка недвижимости"
"Я тоже задавался таким вопросом: для получения ВНЖ нужно находиться в стране более 180 дней в год. Покупка недвижимости или движимого имущества предполагает выплату налогов, которые для неграждан на порядок выше. Кроме того, валютное законодательство может привести к блокировке счетов. Вопрос: как быть в таких ситуациях?","Налоговое резиденство можно оформить без ВНЖ. И платите налоги в государство РУз."
"Мне на госуслугах выдали справку на русском. Я не помню, выбирал ли язык при заказе услуги, только отмечал, что нужен апостиль. Теперь придётся переводить и идти к нотариусу?","Давно было... Но насколько я помню, там можно скачать и на русском, и на английском."
"Мне на госуслугах выдали справку на русском. Я не помню, выбирал ли язык при заказе услуги, только отмечал, что нужен апостиль. Теперь придётся переводить и идти к нотариусу?","Сейчас там можно выбрать страну, для которой делаете."
"Привет всем! Есть кто-нибудь, кто воспользовался IT-визой в Узбекистане?","Зачем?"
"Всем привет!  

Кто работает с западными компаниями или фрилансирует, поделитесь, пожалуйста, лучшими практиками:  
- стоит ли регистрировать ИП в Узбекистане?  
- как платить налоги?  
- как принимаете платежи? Например, Payoneer?  

Спасибо.","Прорабатывал этот вопрос. Оформил электронную подпись, затем ИП, затем юрлицо в Капитал банке. Планировалось получать свифт-переводы. За налогами ко мне звонил лично сотрудник из налоговой и говорил: «оплати, иначе будут проблемы», платил через всевозможные сервисы, например, Click/Payme. В итоге эти сложности надоело, и я приостановил ИП, так ни разу не получив свифт-перевод."
"Привет! Если ты хочешь выбрать банк и карту в Ташкенте, стоит обратить внимание на надёжность финансовой организации, удобство сервиса, комиссии и дополнительные функции. Возможно, стоит почитать отзывы или проконсультироваться с местными жителями, чтобы подобрать оптимальный вариант. Уточни, что тебе важно: например, онлайн-банкинг, кэшбэк, международные тарифы или другие преимущества.","На мой взгляд, Капиталбанк."
"У меня стандартная ситуация с OpenVPN-клиентом: раньше подключался без проблем в Москве, пока до работы. Теперь, видимо, его блокируют. Насколько я понял, под ""правильной конфигурацией"" подразумевают корректные настройки. Нужно ли писать админам компании, чтобы они всё настроили с их стороны, или придётся самому поднимать сервер на VPS?","Пожалуйста, сообщите админам, чтобы они включили TLS-Crypt или TLS-Crypt 2 на сервере OpenVPN. Это поможет усилить безопасность соединения."
"У меня стандартная ситуация с OpenVPN-клиентом: раньше подключался без проблем в Москве, пока до работы. Теперь, видимо, его блокируют. Насколько я понял, под ""правильной конфигурацией"" подразумевают корректные настройки. Нужно ли писать админам компании, чтобы они всё настроили с их стороны, или придётся самому поднимать сервер на VPS?","Да, переконфигурировать серверную часть."
"Подскажите, как мне теперь на работу устроиться? Или сертификаты были просто для проверки, что всё работает?","Просто показать, как работает."
"Добрый день!  
Где в Узбекистане могут работать IT-специалисты?  
Какие зарплаты в этой сфере?  
Есть ли спрос на аналитиков?","Какие именно аналитики?"
"Добрый день!  
Где в Узбекистане могут работать IT-специалисты?  
Какие зарплаты в этой сфере?  
Есть ли спрос на аналитиков?","Нужны сетевики. Даже настроить VPN не могут"
"Добрый день!  
Где в Узбекистане могут работать IT-специалисты?  
Какие зарплаты в этой сфере?  
Есть ли спрос на аналитиков?","Зачем обязательно искать работу на местном рынке, если есть глобальный рынок труда с такими же зарплатами, как в других странах?"
"Привет! Спрос на тестировщиков в Узбекистане есть?","EPAM, кажется, переехали все тестировщики сюда, и не только EPAM. Релокация начинается с тестировщиков у многих компаний."
"Привет! Спрос на тестировщиков в Узбекистане есть?","Добрый вечер. Есть опыт в тестировании?"
"Всем привет. Народ, как обстоят дела с интернетом в отелях Ташкента? Можете порекомендовать какой-то на первое время, чтобы можно было более-менее работать удалённо.","Для работы подойдет уютное заведение. Интернет обычно есть и хороший. 909270497 Павел. Мы готовы принять и организовать пространство для вашего удобства и работы."
"Привет! Можно посмотреть в интернет-магазинах, например, Ozon, Wildberries или M.Video. Главное — сравнить цены, почитать отзывы и уточнить условия доставки.","Я брал в 2021-м, когда было тяжело."
"Привет! Можно посмотреть в интернет-магазинах, например, Ozon, Wildberries или M.Video. Главное — сравнить цены, почитать отзывы и уточнить условия доставки.","Тут брал, на малике секция А10, магазин Лаки Кастом"
"Привет! Можно посмотреть в интернет-магазинах, например, Ozon, Wildberries или M.Video. Главное — сравнить цены, почитать отзывы и уточнить условия доставки.","Съезди на рынок Малика, посмотри.  
Вчера взял беспроводную мышку за 50 тысяч, хаб к ноутбуку за 280 тысяч, кнопочный телефон за 100 тысяч."
"Для русских эмигрантов реально устроиться на работу, но это зависит от страны, в которой они проживают, уровня владения языком и специализации. Если варианты локальных вакансий ограничены, удалённая работа может стать хорошим альтернативным решением.","Мне кажется, что россиянину устроиться может быть несложно. Если есть возможность работать удалённо в России или за границей, это выглядит выгоднее с точки зрения зарплаты."
"Для русских эмигрантов реально устроиться на работу, но это зависит от страны, в которой они проживают, уровня владения языком и специализации. Если варианты локальных вакансий ограничены, удалённая работа может стать хорошим альтернативным решением.","В международные компании без проблем. Зарплата на уровне РФ."
"Для русских эмигрантов реально устроиться на работу, но это зависит от страны, в которой они проживают, уровня владения языком и специализации. Если варианты локальных вакансий ограничены, удалённая работа может стать хорошим альтернативным решением.","Всё зависит от знания языка. Если речь о русском, то наниматель, скорее всего, местная компания, а зарплата будет значительно ниже ожиданий, особенно если сравнивать с крупными московскими компаниями. Если есть навыки английского, варианты могут быть с иностранными работодателями или компаниями в Узбекистане, но проект будет вести себя из-за границы. Зарплата в таких случаях будет сопоставима с уровнем крупных городов, например, Москвы."
"Вы заказываете на AliExpress через сайт или приложение? У меня почему-то автоматически ставится русский язык.","А в чём разница с русским? Просто установил приложение и заказывал, как и через сайт. Я местный, если что — указывал локальный адрес, всё прошло нормально."
"А чем русское отличается? Я просто установил приложение и заказывал, как и через сайт. Я местный, если что, указывал локальный адрес и всё.","Доставка с Ali платная?"
"Добрый день, подскажите, есть ли варианты найти работу джуном в Ташкенте или на стажировку для набора опыта?","Готов рассмотреть. Какой опыт?"
"Всем привет! Подскажите, пожалуйста, мне нужно подключиться к VPN с локацией РФ. Какой бы ни скачал, соединение не устанавливается. Кто знает рабочий VPN?","Обнаружил, что Касперский работает. Бесплатная версия как раз на Москву. Работает только с компьютерами (Windows), на телефонах не подключается."
"Всем привет! Подскажите, пожалуйста, мне нужно подключиться к VPN с локацией РФ. Какой бы ни скачал, соединение не устанавливается. Кто знает рабочий VPN?","Купить простой VPS, запустить в Docker Outline по пошаговому руководству с Google — за 10 минут."
"Всем привет! Подскажите, пожалуйста, мне нужно подключиться к VPN с локацией РФ. Какой бы ни скачал, соединение не устанавливается. Кто знает рабочий VPN?","Использовать TouchVPN"
"Всем привет! Можно ли работать удалённо в зарубежной компании и получать зарплату на карту Узбекистана, находясь в стране? Какой налог будет удержан в этом случае?","Получите полностью, предоставив в банк договор, налоги оплачивайте самостоятельно по итогам года."
"Коллеги, подскажите, пожалуйста, может ли middle-разработчик с 5 годами опыта рассчитывать на оплачиваемый релокейт?","Добрый день! Возможно, вы уже указали язык разработки? Мы ищем Java-разработчиков, QA-тестировщиков, product-менеджеров, проектных менеджеров, дата-аналитиков. Помогаем с переездом. Если кому-то интересно — пишите в личные сообщения @Lola_paynet."
"Добрый вечер. Есть опыт в тестировании?","Есть опыт в мобильной и веб-разработке, ищу подработку"
"Добрый вечер. Есть опыт в тестировании?","Добрый день! Неофициальный опыт, 1 месяц, я только в августе окончила курсы."
"Привет! Только приехал в Ташкент, подскажите, пожалуйста, куда можно съездить поработать в будний день (нужны розетка и Wi-Fi). Может быть, в городе есть хорошие коворкинги?","Есть в кафе коворкинг."
"Привет! Только приехал в Ташкент, подскажите, пожалуйста, куда можно съездить поработать в будний день (нужны розетка и Wi-Fi). Может быть, в городе есть хорошие коворкинги?","коворкинги граунд зеро, импакт, hub"
"Привет всем, где купить microtik ac2? Буду очень благодарен.","</think>"
"Подскажите, пожалуйста, стоит ли выбрать симку Mobiuz или лучше Билайн? Нужен только интернет.","Билайн будет лучше."
"Подскажите, пожалуйста, стоит ли выбрать симку Mobiuz или лучше Билайн? Нужен только интернет.","Ucell за 5 месяцев ни разу не подвел. Даже в тех местах, где Билайн не ловит вовсе."
"Ребят, подскажите, в каких районах лучше снимать квартиру?","Для комфортной дорогой жизни не сиргели"
"Ребят, подскажите, в каких районах лучше снимать квартиру?","Яккасарой, Мирабад."
"Подскажите, на каком проверенном ресурсе можно найти квартиру в Самарканде?","</think>"
"Ребят, кто-нибудь открывал карту не через 15 дней пребывания?","Может, есть банки, которые готовы открыть карту по российскому паспорту раньше?"
"Всем привет! Кто переехал в Узбекистан, оформил карту, на которую переводит зарплату из России (удалена) — у вас не было проблем с налоговой? По-видимому, они спрашивали, откуда у вас деньги?","делаю так уже два месяца, пока вопросов не было"
"Всем доброго дня. Сколько стоит техника (ноутбуки) в Узбекистане? Имеется в виду, дороже или дешевле, чем в России? Хочу уехать без лишних вещей.","</think>"
"Всем доброго дня. Сколько стоит техника (ноутбуки) в Узбекистане? Имеется в виду, дороже или дешевле, чем в России? Хочу уехать без лишних вещей.","</think>"
"Такие низкие зарплаты? 150 тысяч рублей в пересчёте на сумы — это, наверное, большой доход для Ташкента и всей Узбекистана.","Да, много. Местные фирмы, как правило, не готовы так платить. Только очень крупные или иностранные."
"Такие низкие зарплаты? 150 тысяч рублей в пересчёте на сумы — это, наверное, большой доход для Ташкента и всей Узбекистана.","150 тысяч рублей. Это не так уж и много, многие готовы заплатить такую сумму."
"Привет, ребята! Помогите разобраться, в чём основные различия между картами Uzcard и Humo. Какую из них лучше оформить?","Только что писали в чате кэша"
"Ребята, извините, возможно, вопрос уже задавали, но кто-нибудь может подсказать: есть ли проблемы с подключением к рабочему VPN? Не могу его запустить, возможно, блокируют?","Через что подключаетесь? Протокол?"
"Ребята, мир вообще ещё работает здесь или после 23 гг.?","Нет"
"Можно ли сделать это настройку только для одного клиента? То есть создать отдельный конфиг, чтобы не менять настройки у остальных, у кого всё работает корректно. Просто у меня из Узбекистана возникают проблемы, а другие коллеги — из других стран.","Может быть, нет. Хотя если подумать, админ может запустить отдельный инстанс OpenVPN на другом порту специально для вас. В Docker это можно сделать за 5 минут."
"Можно ли сделать это настройку только для одного клиента? То есть создать отдельный конфиг, чтобы не менять настройки у остальных, у кого всё работает корректно. Просто у меня из Узбекистана возникают проблемы, а другие коллеги — из других стран.","Этот способ работает, коллега, так делал."
"Где в Ташкенте можно купить новый MacBook Air с чипом M2? Нужна помощь в поиске информации – в интернете пока не нашёл чётких данных.","MacBro смотрели?"
"Где в Ташкенте можно купить новый MacBook Air с чипом M2? Нужна помощь в поиске информации – в интернете пока не нашёл чётких данных.","</think>"
"Где в Ташкенте можно купить новый MacBook Air с чипом M2? Нужна помощь в поиске информации – в интернете пока не нашёл чётких данных.","</think>"
"Где в Ташкенте можно купить новый MacBook Air с чипом M2? Нужна помощь в поиске информации – в интернете пока не нашёл чётких данных.","Посмотрите сайты Macintosh, MacBook и MacBook Pro."
"Здравствуйте!  
Cisco корпоративный ВПН (например, Cisco AnyConnect) обычно работает в большинстве стран, включая Узбекистан. Однако точную совместимость и настройки лучше уточнить в вашем корпоративном IT-отделе, так как могут быть специфические требования или ограничения.","Да, и даже офис Cisco есть"
"Здравствуйте!  
Cisco корпоративный ВПН (например, Cisco AnyConnect) обычно работает в большинстве стран, включая Узбекистан. Однако точную совместимость и настройки лучше уточнить в вашем корпоративном IT-отделе, так как могут быть специфические требования или ограничения.","Работает, только медленно."
"А подскажите, пожалуйста, есть ли у нас местный аналог приложения Ozone или оно, может быть, называется AliExpress?","</think>"
"А подскажите, пожалуйста, есть ли у нас местный аналог приложения Ozone или оно, может быть, называется AliExpress?","Если по модели маркетплейса, то"
"А подскажите, пожалуйста, есть ли у нас местный аналог приложения Ozone или оно, может быть, называется AliExpress?","Есть ещё зуд, пей и мол, даже противно в оригинале писать. Стало."
"А подскажите, пожалуйста, есть ли у нас местный аналог приложения Ozone или оно, может быть, называется AliExpress?","Была мысль запустить здесь что-то, но логистика слишком дорогая."
"А подскажите, пожалуйста, есть ли у нас местный аналог приложения Ozone или оно, может быть, называется AliExpress?","Wildberries из России везёт."
"Можно ли оформить SIM-карту Ucell из России?","Попробовал искать в группе"
"Можно ли оформить SIM-карту Ucell из России?","В аэропорту можно купить сим-карту"
"Всем доброго времени суток! Подскажите, пожалуйста, кто как пересылал деньги из Узбекистана на Сбер или Мир карту? Раньше пользовался приложением Агробанка, сейчас оно не работает. Пытался отправить через Салам Пэй, но курс получается невыгодный.","Можно здесь открыть и привязать Ю-Мoney (бывший Яндекс-Кошелёк), а также отправлять переводы с него. Если напрямую из кошелька не получится (хотя обычно всё работает), можно создать прикреплённую карту Мир — у сервиса общий баланс, и с неё переводы будут идти на любые российские карты. Пополнить Ю-Мoney можно через Payme с местных карт, комиссия при этом нулевая."
"Привет. Может кто в курсе, работают ли сейчас белорусские карты в Узбекистане? Спасибо","А почему не должны работать? Под санкциями?"
"Привет. Может кто в курсе, работают ли сейчас белорусские карты в Узбекистане? Спасибо","Приор работает, снимать можно только суммы в банкоматах"
"Привет. Может кто в курсе, работают ли сейчас белорусские карты в Узбекистане? Спасибо","Все работает отлично."
"Подскажите, пожалуйста, сотового оператора, у которого нет ограничений на раздачу интернета с вайфая?","Не встречал таких ограничений ни у Юсела, ни у Билайна, периодически пользуюсь как резервными каналами."
"Всем привет! Возможно, уже отвечали.  

Нужно оформить ИП в Узбекистане для работы в российскую компанию. Кто-то уже делал это? Можете подсказать алгоритм действий? Нашёл статью 2019 года, но боюсь, информация устарела.","Я читал, что иностранцам в России доступно только открытие ООО, сейчас сам разбираюсь. Похоже, придётся искать единомышленников и совместно открывать компанию, чтобы собрать необходимый уставной капитал. В таком случае, возможно, всех учредителей можно трудоустроить в фирму."
"Привет! Может кто-нибудь ответить? Если хотите, можно написать в личные сообщения — не принципиально.  

Сколько должен быть доход на семью из двух человек в Ташкенте, чтобы семья чувствовала себя комфортно (с учётом арендной платы за квартиру)? Понимаю, что у разных людей разное понятие комфорта, поэтому можно описать примерный доход и доступные при этом блага.  

Заранее спасибо!","Подпишусь, вообще не знаю, как отвечать на вопрос по ожиданиям ЗП."
"Привет! Может кто-нибудь ответить? Если хотите, можно написать в личные сообщения — не принципиально.  

Сколько должен быть доход на семью из двух человек в Ташкенте, чтобы семья чувствовала себя комфортно (с учётом арендной платы за квартиру)? Понимаю, что у разных людей разное понятие комфорта, поэтому можно описать примерный доход и доступные при этом блага.  

Заранее спасибо!","Учти примерно 100 $ в неделю на продукты, аренду квартиры и коммунальные платежи."
"Привет! Может кто-нибудь ответить? Если хотите, можно написать в личные сообщения — не принципиально.  

Сколько должен быть доход на семью из двух человек в Ташкенте, чтобы семья чувствовала себя комфортно (с учётом арендной платы за квартиру)? Понимаю, что у разных людей разное понятие комфорта, поэтому можно описать примерный доход и доступные при этом блага.  

Заранее спасибо!","Привет, жена решила вести учёт расходов. С 13 сентября, то есть за две недели, мы потратили 5,3 миллиона, это примерно 500 долларов, без учёта аренды. В общем, не ограничиваем себя в покупках.  

По моим ощущениям, тратим много. Работаю в кафе, за этот период заработал 300 тысяч. Каждый день ездим на такси в парк или на пляж — тратим около 400 тысяч. По дороге покупаем всё подряд: лимонады, сладости и прочее.  

В кафе тратим мало — всего 700 тысяч. Почти каждый день едим пиццу, плов или лаваш. Готовим в основном дома, но покупаем продукты в «Корзинке» без ограничений — это 2,3 миллиона.  

Чуть меньше миллиона ушло на разные расходы: оплата услуг, интернет, бытовую химию, покупки одежды, лекарства. И ещё около 200 тысяч — на шоколадки, жвачки и игрушки для ребёнка."
"Всем привет! В группе про кэш какая-то странная атмосфера и игнор… Не могу найти информацию об обмене валют. Как можно выгодно обменять наличные рубли на доллары или сумы в Ташкенте?","Попросить кого-нибудь в чате поменять кэш — но, наверное, придется идти в банк через обмен. Также можно попробовать на Чорсе через обменники, но это на свой страх и риск."
"Всем привет! В группе про кэш какая-то странная атмосфера и игнор… Не могу найти информацию об обмене валют. Как можно выгодно обменять наличные рубли на доллары или сумы в Ташкенте?","Рисковать не стал, поменял в банке. Курсы обмена можно посмотреть на сайте."
"Добрый день! Нужно установить CRM-систему в компании. Какая программа подойдет лучше всего? И какая компания в Ташкенте сможет её установить и настроить под нужды работы? Требования:  
- для отдела продаж (работа с клиентами, планирование, отчеты и т.д.)  
- для офиса  
- для склада","Добрый день. Мы сможем."
"Добрый день! Нужно установить CRM-систему в компании. Какая программа подойдет лучше всего? И какая компания в Ташкенте сможет её установить и настроить под нужды работы? Требования:  
- для отдела продаж (работа с клиентами, планирование, отчеты и т.д.)  
- для офиса  
- для склада","Добрый день, Bitrix24.  
Местные компании: Micros, Bit-24.  
Как вариант — amoCRM.  
Местная компания iCorp."
"Добрый день. Мы — это кто?","INTERFLUVE, недавно зарегистрировались.  
Ранее работали в крупной компании.  
Есть опыт и кейсы."
"Всем привет, есть в чате специалисты по Node.js? Искали в Москве, теперь поищем в Ташкенте. Пишите в личку.","Тоже нужны! Пишите в личку или сюда маякните."
"Привет! Подскажите, кто-то участвовал в перевозке квартиры из России в Узбекистан? Кем осуществляли перевозку, какие сложности возникали?","Прям целиком?"
"Где делают пифл? Нужно ли регистрироваться там онлайн?","единое окно"
"Где делают пифл? Нужно ли регистрироваться там онлайн?","Зачем нужен пиф-паф?"
"А где факты, кстати? Я, наверное, почти всё из того, что было в июне, уже прошёл, но было бы интересно взглянуть ещё раз. Закрепов в группе нет.","Вот ссылки на то, что вам надо."
"Всем привет! Нужен разработчик БД с опытом работы: SQL, PL/SQL, Oracle, OLAP, EBS, Hyperion.","Вот человек написал про oracle"
"Привет, ребята! Кто-нибудь может посоветовать, какие сейчас есть возможности попасть на работу в Epam?","Добрый день. Напишите мне в личку."
"Подскажите, как использовать бесплатные звонки в Узбекистане? Операторы блокируют звуковые порты.","Из браузера, пользуюсь."
"Подскажите, поддерживает ли iPhone 13, купленный в РФ для российского рынка, работу с eSIM для Узбекистана?","Не должно быть с этим проблем! Сестра приезжала, подключали eSIM Билайна на её iPhone 13. Проблем не было."
"Добрый день, подскажите, кому в Ташкенте лучше живется: дизайнеру или фронтенд-разработчику?","А у тебя какой критерий лучшей жизни?"
"Всем привет!  
А кто-нибудь ходит в коворкинги в Ташкенте?  
Можете посоветовать хороший?","Они тут все норм. Смотри рядом с домом."
"Всем привет!  
А кто-нибудь ходит в коворкинги в Ташкенте?  
Можете посоветовать хороший?","Компания Laminam предоставляет свою шоурум зону как бесплатный коворкинг для релокантов"
"Всем привет!  
А кто-нибудь ходит в коворкинги в Ташкенте?  
Можете посоветовать хороший?","Ground Zero хороший, но самый дорогой. Hub очень ламповый, мне больше всего понравился. Impact.t прикольный, но нужно ждать, пока достроят до конца — он находится в труднодоступном месте."
"Добрый день! У меня вопрос. Купил авиабилет в Наманган за рубли, а хотел купить поезд до Ташкента. Не подумал, что оплата там в сумах. Подскажите, как быть: покупать билет из России или отложить решение и оплачивать в сумах, когда приеду в Наманган?","РЖД или поехать на такси?"
"Добрый день! У меня вопрос. Купил авиабилет в Наманган за рубли, а хотел купить поезд до Ташкента. Не подумал, что оплата там в сумах. Подскажите, как быть: покупать билет из России или отложить решение и оплачивать в сумах, когда приеду в Наманган?","Взять деньги. Желательно не только стольники."
"Добрый день! У меня вопрос. Купил авиабилет в Наманган за рубли, а хотел купить поезд до Ташкента. Не подумал, что оплата там в сумах. Подскажите, как быть: покупать билет из России или отложить решение и оплачивать в сумах, когда приеду в Наманган?","Принимает Visa, MasterCard, Maestro, JCB, Google Pay, American Express, UnionPay, Apple Pay"
"Добрый день! У меня вопрос. Купил авиабилет в Наманган за рубли, а хотел купить поезд до Ташкента. Не подумал, что оплата там в сумах. Подскажите, как быть: покупать билет из России или отложить решение и оплачивать в сумах, когда приеду в Наманган?","Лучше всего добираться из Намангана в Ташкент на такси. Стоимость поездки составляет до 10 долларов."
"Всем доброго вечера.  
Предполагаю, что в Узбекистане для регистрации и снятия квартиры как-то используют ПИНФЛ. Кто-нибудь знает что-нибудь об этом?","Да, так и есть."
"Коллеги, подскажите, сколько минимально нужно денег на переезд в Ташкент из Москвы?","Если не учитывать стоимость билета, то 3k долларов, думаю, должно быть вполне нормально."
"Всем привет! Здесь есть те, кто переехал в Узбекистан?","да"
"Вопрос касается интернета на рабочем ноуте. На нём установлен VPN Cisco AnyConnect. Хотел бы узнать, работает ли он в других странах? Например, в Узбекистане.","Вот, мне отвечали на этот вопрос"
"Вопрос касается интернета на рабочем ноуте. На нём установлен VPN Cisco AnyConnect. Хотел бы узнать, работает ли он в других странах? Например, в Узбекистане.","Если у вас установлен Cisco AnyConnect, обратитесь в службу IT-поддержки. Нюансов может быть множество."
"Вопрос касается интернета на рабочем ноуте. На нём установлен VPN Cisco AnyConnect. Хотел бы узнать, работает ли он в других странах? Например, в Узбекистане.","С OpenVPN бывают проблемы в зависимости от настроек. С Cisco, вероятно, тоже есть риски."
"Можно поподробнее? Наверное, многих интересует этот вопрос. Может, есть ссылка?","можно начать отсюда"
