question,class,label
"девочки, кто-нибудь хочет как-нибудь вечерком встретиться, поболтать? буду рада новым знакомствам) 
Чангу",1,0
Блять я Прайма убить не могу как я буду Мун лорда убивать? Это полный пиздец на мастере,1,0
А вы в чат 5-ого корпуса не хотите добавится? Обычно на проблемы своего корпуса люди активнее реагируют. Тут все-таки с 10 домов народ.,0,0
"Этот один раз был в каком возрасте? Если уже почти 4 года, какой срок знакомства с горшком?",0,1
"Оу, разве? Оке",1,0
"Как шлагбаум исправит тот факт, что парковка забита? Она так же будет забита автовладельцами из ОП. На огромный дом 50 мест, там так и будут все стоять друг у друга на голове и загораживать проезд.
Шлагбаум только добавит неудобств.",1,0
"День добрый товарищи, окажите пожалуйста помощь советами, недавно начал играть более менее серьезно, раньше пробовал, но имея карту со всеми вещами сложно удержаться, сейчас все стараюсь в своем мире добывать, возникло пару вопросов,  
1. в дохардмодном мире крылья никак не получить?
2. Убил глаз, пожирателя миров, скелетрона, пчелу, остаётся только стена плоти?
3. Что нужно сделать до перехода в хардмод?
Почитываю фандом вики, но не всегда все понятно, не стомт ли сейчас обнести зараженные зоны слоем кирпича чтоб в хардмоде они не распространялись? Буду признателен за советы",0,1
"Кому небольшой
Приятный Домик? 
Фруктовый Сад
И бассейн +

Район - Тихий отдых в ПриУбудье))",1,1
"ты сейчас высрал тупа бессмыслицу, в чём смысл идиотских обновлении? 
тебе по любому не больше 14, так как обновления не масштабные, но заточены под разную тематику, поэтому меняется второе число, нежели первое 1.х
чекай игры, где такие вещи добавляются с помощью длс, в тот момент, когда в терки это просто обновление",0,0
У меня вот вопрос всегда возникает по поводу массажа на дому. А где они делают? На кровати? Все же жирное потом,1,1
"Бля чел, ты не понимаешь? Мой посыл- пираты пидарасы",1,0
"А справку о составе семьи где берете? Это типо вы,муж и ребенок?)",1,1
А сколько ребенку? И почему нельзя?,1,0
И почему корью болеют привитые? Странно как-то) ладно бы болели непривитые. Много вопросов в части прививок.,0,1
"У нас примерно то же самое((( подскажите, пожалуйста, где купить бесконтактный термометр? Многие врут, нужен надежный. У вас какой?",1,1
"Не, вы не думаете радикально так, но вдруг? Может таки зубы, полезут и пройдёт. Меня шерсть дико бесит, я раз в 2-3 мес вожу в подстрижку кошачью... Ребенку - то как эти сопли, потому что чешет и чешет, понятно, но доставляет ли это ему дискомфорт, как настроение? А если спит норм при этом..то как бы? Ну пусть потекут, пусть почешет
.. Не?",0,0
"Всем привет  
Девчонки, кто-нибудь брал инструктора по вождению мото?  (Хочу научиться ездить на спорт байке) Если да, поделитесь контактами ",1,1
"А где вы их покупали? Потому что такие валенки которые в нашем детстве были сейчас не нахожу. Сейчас войлок какой-то странный, типо с синтетикой",1,1
"Девочки, у кого у ребенка находили стафилокок в кале? Что врач приписывает из лекарств? Сегодня забрала анализ, завтра идем к педиатру, надо подготовиться",1,1
Почему? Считают чем больше власти у верхушки тем лучше?,1,1
"я то ли сплю, то ли и правда совсем не понял, как мы от компании за столом перешли к парковкам? :)",1,0
а сколько стоит школьный обед? в день,1,1
Почему ко мне должен придти? Других за людей не считаете?,1,0
А могут колики начатся в 2 месяца и позже? А то нас они особо не беспокоили. Вот я думаю ждать нам их или нет ,1,1
"Ну Вы написали, что думать раньше надо, вот и уточняю, насколько раньше? ))) так как коляску все равно придется покупать, а они, как я уже писала, +- одинаковых размеров. Поэтому вопрос тут рожать/не рожать)",0,0
"Всем привет подскажите, где на Буките можно распечатать пцр-тест?  
Желательно по пути из Нуса Дуа в аэропорт",1,1
"Да, но как я понял, тебя удивляет его возраст, но Терзич тоже молод, почему тебя тогда Терзич не удивляет? Или вопрос в другом?",0,0
"Девочки , кто-нибудь делал деткам загран паспорт в ближайшее время ? ( старого образца )Как долго у нас в Иркутске эта процедура занимает времени ?",1,1
"Не совсем так. Днём вы можете пробовать их не одевать. Опять же с горшком уже все отлично? Если да, то тогда дневные эксперименты будут комфортны. И ночью важна зрелость нервной системы. Лучше не торопить.",0,0
"Привет, девочки ! 
Подскажите, пожалуйста, проходили ли вы на Бали где-то общее обследование организма? 

И может быть кто-то знает где можно сдать панель на витамины и гормоны? 

Спасибо ",0,1
Что за акула ? и откуда взял ?,1,0
Подскажите пожалуйста  у кого нибудь есть босоножки такие? Нужны на съемку ,1,0
"Девочки, решила сделать творожную запеканку, а форма слишком большая, получится очень тонкая( можно ли в стеклянной посуде запечь в духовке? При 200градусов",0,1
"Вопрос не по теме: дети просят завести собаку, кто собак держит скажите как справляетесь с маленьким ребёнком и с собакой в плане выгула? Какой режим сколько раз выгуливаете? И хочется и сомнения терзают ",1,1
"Не просит и не ест предложенное. Дневник не вела, в чем его смысл? Конечно все говорят отучать.",0,0
"Девочки, врач в Москве прописала антидепрессанты. Был ли опыт покупки на Бали через психиатра местного или без рецепта в аптеке? Нужен эсциталопрам (ципралекс, селектра, элицея).",1,1
"Доброе утро. Девушки, подскажите, где в Иркутске быстро купить меш-небулайзер или мембранный небулайзер? Не ультразвуковой",1,1
"Девочки, а есть кто-то, кто научился дайвить несмотря на панический страх? Напишите (можно в личку), пожалуйста, про свой опыт!",1,1
Пока вроде бы живой? А значит усе это провокация и развод на эмоции инфантилов.,1,0
что там дописывать? финито же давно,1,0
"Всем привет. Мамы, есть кто- то контактный по ковид, который не заразился? реально контактировать и не заболеть?",1,1
Да. Я что поделаю? Есть второй вариант. Ждать,0,0
"Потому что я не припомню ни одного исследования, рекомендаций на этот счет. Ну и чисто логически, в чем смысл брызгать на щеку? Ребенок сглотнет со слюной и все. Это бесполезная трата денег, времени и нервов ребенка. Мое мнение)",0,0
"Кстати, как вам его преподнесли? Он еще не монтирован? Просто в комнате чтоль стоял?;)",1,0
"Девочки, у кого есть свободная комната на красивой вилле? Готова присоединиться  или кто может тоже ищет жилье, давайте объединяться и вместе снимем афигенную виллу ",1,0
А почему маски не воруете? Какая разница что украсть 42 рубля у метрополитена или маску в магазине))))),1,0
"Здравствуйте мамочки, поделитесь чем вы в период прорезывания зубиков спасались ? И от аллергии что помогало? Нам сейчас 3 месяца и думаю надо покупать уже, что бы было.",1,1
"Сожалею что моя фамилия вам не понравилась,  хотя при   обращении её произносят. А как вас произнести? Точка.. Так не ты один с точкой",1,0
Всем привет. Где на Бали можно купить витамины В 12? Может кто астральный? Напишите в личку пожалуйста ,0,1
"Как перестать бояться ? Какую установку дать себе , чтобы проецировать хорошие мысли ?",1,1
"Всем добрый вечер! Мамочки скажите у кого может было такое? Малышка сильно испугалась,  вздрогнула и очень сильно заплакала, плакала долго кое как успокоили. Испугалась, потому что рядом упала игрушка.  Теперь весь вечер плаксивая, у нее конечно могут быть колики ей всего полтора месяца.  Но я теперь переживаю, может быть испуг? Что может за этим следовать? Что лучше теперь делать? Подскажите пожалуйста ",1,1
"А время конкретное назначали? Если ребенок уснуть не может,  они будут ждать?",1,0
"Расскажите поподробнее)) когда и откуда выезд, во сколько в Иркутске? У вас есть расписание какое-то? И это обычная электричка?",1,1
"Ого! Круть! Можно ли с травмой (разрыв мениска)? соответственно, не смогу нагружать колено",0,1
Неизвестно? Пока зам наверно какой-то? А мэра разве не выбирать должны после отставки/перевода?,1,0
Вы пробовали кратом на вкус?  ни один человек в здравом уме такой кофе пить не будет,0,0
Да? А это тогда что?!,0,0
"Девочки, кто-то делает маникюр/педикюр с выездом к клиенту? Я в сануре живу, и пока не могу выехать из дома, тк недавно родила. А красоту на руках/ногах хочется видеть уже сейчас)",1,1
"Девочки, нам три недели. Малыш хрюкает, натурально так, как , это нормально? Что-то это сильно для всего-то тонких хрящей, как мне кажется. Что это может быть?",1,1
"Всем привет. Сильные ли проблемы с вонью с полигона тбо, мусоросжигательного завода и нефте-перерабатыаабщего завода неподалёку? Реально ли все так плохо с экологией, что в десятки раз увеличилось количество смертей от онкологии?",1,1
А кто отправлял отсюда вещи посылкой в Россию? Поделитесь пож контактами ,1,1
К остеопату обращались? Стоматолог уздечку смотрел?,1,1
Ты кто? Что у нас делаешь?,0,0
Девочки! А кто то может с собой имеет Октенисепт ? И готов отлить чуть чуть)?,1,0
Это все? Вы закончили?),0,0
"Получается что вы водили дочь частный садик и там ей понравилось? У меня складывается впечатление, что в частных садах детям больше нравится, чем в муниципальных. Ни разу не слышала чтобы в частный сад ребенок шел со слезами",1,0
"Привет!
А кто-то знает кто обучает игре на пианино? ",1,1
"Как это ничего нельзя кроме сухарей? Это кто Вас так напугал?!
Можно практически все то, что кушали всегда, кроме явных аллергенов и меньше красителей",1,0
"Со всем к вам уважением. Вижу вас в этом чате постоянно , как вы реагируете на все происходящее. И с вами во многом солидарен. И мне НЕ нравится количество чужаков на территории , НЕ нравится отсутствие безопасности в районе, НЕ нравится подход УК к своим обязанностям и ещё много чего тут не нравится. Так Может от слов к делу перейти? Может возьмёте на себя инициативу по забору вокруг ЖК или ещё чему -то?",0,0
А почему в 100 лет не хотите к ней? Там все просто по записи - раз в месяц утром позвонить,1,0
"Девочки, меня начал мучать вопрос- глистогонить детей. Где-то вычитала, что нужно раз в пол года. Нужно ли это? Правильно ли это? 
Мучает вопрос, потому что нет-нет, да и съест песок и камни оближет. Хоть я и рядом все время и внимательно смотрю, но стоит на несколько секунд отвернуться - некоторое идёт в рот! Благо сразу отдаёт мне то, что попыталась лизнуть или съесть",1,1
"Девочки привет) я видела где-то фото оленей, с чекином кута
Может кто-то из вас знает где они? 
Так хочу посмотреть
Если конечно они добровольно там обитают",0,1
"Девочки, где Мерисы трусики по акции сейчас?  Что то в моих привычных магазинах цена кусается",0,1
"Соседи, у кого-нибудь есть тележка? Задача: перенести много легких коробок в соседний дом",1,0
"Я первый раз эту фирму просто увидела, искала чтобы подошва гнулась и задник был зафиксирован, а не жёсткие ортопеды. По виду везде регулируются. Наверное, за май наденём туфли на улицу раза 4)) а потом может дорастём на сантиметр? Или нет!?",1,0
А чего там? Толпы?,1,0
Тебе плохо? Сегодня 3е,1,0
"Девочки подскажите, срок 36 недель, уже около недели побаливает низ живота как перед ментами, когда сижу (лежу) не болит, а при ходьбе начинается..говорила врачу сказала пить магний. Это нормально? А то переживаю....",1,1
Почему в больницу Вас не взяли? Не откапали?,1,0
Спасибо ))а чем можно намазать ?? Или  таблетки какие-то?,1,0
"Девушки, может у кого-то есть контакты, кто картошку продаёт? И подскажите, пожалуйста, сколько мешок сейчас стоит, чтоб с незнания не развели",0,1
"Девочки Подскажите, вопрос от моей подруги , ребёнку 6 месяцев , месяц назад вылезла аллергия , щеки все красные и на подмышках , красные точки , прикорм пока не вводить , а вдруг аллергия не исчезнет ещё месяца два ?? И что делать как отслуживать реакцию на продукты",1,1
"Дамы прекрасные, где купить гуаша? Не валик, а лопаточку",1,1
"А кто то же писал про такси, где женщины работают? Или это авто няня, которая увозит детей в школу и на кружки. Точно не помню, но где то в этом чате была подобная инфа давненько.",0,0
"Всем здравствуйте! Подскажите пожалуйста, может кто знает как сейчас принимают в Иваново матренинской? На улице очередь?",0,1
"Девочки, подскажите, сколько дней ждать реакцию на прививку Акдс (пентаксим)? Реакция сразу может проявиться или через несколько дней?  И если появилась, то через сколько дней проходит?",0,1
"Здравствуйте, подскажите чем спасались во время беременности от насморка? Лор выписал тизин или нафтизин и ещё проторгол. Почитала анатацию, что во время беременности нельзя их. Да и нафтизин вроде привыкание вызывает (",1,1
"Знаете, чем меня привлек этот человек? Для него  ""уважать альтернативную точку зрения"" и ""уважать НАЛИЧИЕ альтернативной точки зрения"" разные вещи.",1,0
"Девочки, кто знает, где педикюр сделать недорого в Семиньяке? Можно без покрытия даже, просто ножки в порядок привести.",1,1
Ну и? Я тоже Иван,0,0
То есть пцр каждые 72 часа не подойдёт? Нужна именно вакцина?,1,1
Почему никто? Мы в неё ходим. Хорошая школа.,1,0
