question,gpt-oss-20b,gpt-oss-120b,llama-4-scout,llama-4-maverick,qwen3-14b,qwen3-32b,qwen3-235b-a22b
"Девушки, добрый вечер! У дочки 3х лет на пальцах ног пузырьки, прочитала, что
потница. Надо что-то делать? В интернете пишут мол гигиена и пройдет само, но
дочка и так купается каждый день, думаю может в ромашке помыть или что-то в
таком духе?",1,1,1,1.0,1,1.0,1
"Мамочки, в норме что ребенок во время скачка роста плачет во сне? Что то меня
это настораживает(( и в течении дня часто скулит как будто то и ноет",1,1,1,1.0,1,1.0,1
"А точно это было замечание? Я как-то девушке в пк сказала, что на первом есть
комната, она сказала что там душно. Ну я ж из добрых побуждений, вдруг не знает,
о чем сообщила)",1,1,1,0.0,0,0.0,1
"Вторую от полиомиелита, точно? Она одна в год, потом лет в 6 ревакцинация",1,1,1,0.0,1,1.0,1
"А вы лично видели как вашу воду разливают и откуда ее берут? Мне достаточно
того, что она приятная на вкус (лучше магазинных) и не оставляет накипи в
чайнике",1,1,1,0.0,0,0.0,0
Что врач в таких случаях делает? Не хочется лекарствами пичкать,1,1,1,1.0,1,1.0,1
"Девушки, подскажите, пожалуйста! Посте отлучения от груди были ли изменения
аппетита у ребенка в лучшую сторону? Сын ну совсем мало кушает",1,1,1,1.0,1,1.0,1
"Добрый день! :) Соседи, давайте вернемся к обсуждению плана действий по
правильному подписанию договора с УК? Есть ли новости? Нужен ли нам юрист?
Возможно, стоит составить конкретный список действий, которому мы будем
коллективно следовать, ведь так у нас будет больше шансов договориться с УК на
наших условиях.",1,1,1,1.0,1,1.0,1
Отлично! На каком месте он будет? Надо его брать живьём),1,1,0,0.0,0,0.0,1
Ты еблан? Ты блять мое сообщение реплайнул,0,0,0,0.0,0,0.0,0
"Соседи, кто-то переставлял дверь в кладовке чтобы она наружу открывалась? И пол
поднимал выше уровня коридора? Поделитесь опытом",1,1,1,1.0,1,1.0,1
"Да тут я, пытаюсь зал собраться.  Как здорово было на карантине, лежали себе в
кроватке. А сейчас что? Обязательства перед совестью.  Купим эпл вотч, сегодня
не до них мне 🤮🤢",0,0,0,0.0,0,0.0,0
"Был врач с поликлиники,какую то фигню сказал. Поить ромашкой зачем то! Я не знаю
водой поить,сколько? Или средством для регидратация.",1,1,1,1.0,1,1.0,1
"Соседи, а резиновые/одноразовые перчатки тоже в дефиците у нас на районе? Или
где-то можно приобрести?",1,1,,1.0,1,1.0,1
"А может кто-нибудь объяснить какие именно пункты в договоре всех смущают? Нам
только предстоит,просто пытаюсь понять за что так жёстко все хейтят УК",1,1,1,,1,1.0,1
"Девочки, расскажите пожалуйста на каком масле вы готовите?  Чем на Бали можно
заменить оливковое масло? Или оно есть в продаже?",1,1,,1.0,1,1.0,1
"Всем доброй ночи!  Девочки подскажите пожалуйста, помню давно кто то писал про
лист эвкалипта и что он помогает от геморроя?  Это правда, как и что с ним
делать? 😊 подруга недавно родила, спросила, а я кроме свечей ""релив"" По-моему
больше ничего не знаю (",,1,,1.0,1,1.0,1
"Блять, чо вы так охуеваете? Это нормально, что девочка играет в терку...",0,1,,0.0,0,,0
А сколько по времени займет? Сильно дольше обычного?,1,1,1,0.0,1,1.0,1
"Всем привет! Лечу в первый раз. Может кто подскажет, есть какие-то вещи, с
которыми напряженка и лучше в России купить?  И вещи тёплые пригодятся? Смотрела
на видео у кого-то и там большинство людей были одеты в кофты/штаны",1,1,1,,1,1.0,1
"Девочки, подскажите чем на Бали можно вылечить цистит. Здесь впервые полгода
назад поймала где-то, и сейчас опять в острой форме(( думаю из-за воды( монурал
пила, вообще не помог( может травы какие? Или доктора хорошего кто знает?",1,1,1,1.0,1,1.0,1
что бл делать с этим лучом у мунлорда?? Он проходит через весь мир...," —ст?assistant —assistantответ)кдоу??. Г специалист ток-? <|constrain|>?;?>?

Given('assistant

先生????



It?εκ

OkПод? истифода? («это…

Wait?inode 
기업 기업 cl...'''?

We? прод?✝?	

... ""'orn

WeN.assistant???

Да дополнительных?assistant???

Surech

## witnesso

Let's comments

Itistem

I

I :(та

Sorry

В <|constrain|>кон녀

П?commentary ?

(analysis

The bad.

Zcomment?

Q')  

analysis # académico

( jeg 




క్ష

/(comment

comment

ZFrank

Ok",1,1,0.0,1,1.0,1
"Девушки, какие пельмени покупаете? Посоветуйте",1,1,1,1.0,1,1.0,1
"привет! девушки, запаслась аптечкой внушительной. скажите, по прилету могут
проверять из-за этого багаж? или нет с этим проблем? спасибо",1,1,1,1.0,1,1.0,1
"Девочки, кто сдавал ковер в химчистку, после этого неприятный запах химикатов
оставался? И долго ли выветривался?",1,1,1,1.0,1,1.0,1
"Девушки, а сколько времени уходит на оформление мед карты в сад? И вообще кого
там надо пройти в эту медкарту и какие анализы?)",1,1,1,1.0,1,1.0,1
"ребенок дышит 5 минут. что за 5 минут может произойти? какая бактериальная
инфекция? ясно, что не при всех ситцвциях можно. Например при температуре. Ну и
если сопли зеленые, я бы наверное не стала. А отек то хорошо снимает...и дышать
легче",1,1,1,0.0,0,1.0,0
"Тут ещё нужно объяснять что продукт не может развиваться баз обратной связи?
Даже попенсорный. Это азы. Красноглазики, вы отупели от терминалов?",1,0,0,0.0,0,0.0,0
Что все устройства в одной под сети? Как бы так и задуман работа моста,1,1,1,0.0,1,1.0,1
"Сроки смены индивидуальны, как и прорезывания. У ортодонта были?  У старшего
долго не выпадали, уже 6ки все вылезли, а потом 1ки вторым рядом полезли, и
попался нормальный стоматолог, сказал бегите к ортодонту, у ребенка прикус не
правильный: нижняя челюсть завалена и зубы друг на друга не давят🤷‍♀ а мне
казалось, что нормально у него всё, т.к. у меня так же🤦‍♀",1,1,0,0.0,0,0.0,0
"Добрый день! девочки, подскажите пожалуйста, ребенку 5,5 месяцев,лезит зуб и вот
уже наверное недели 2 температура от 36.6 до 37.5 это нормально? больше ничего
нет, ни насморка,не кашля.Зуб уже недели 3-4 начал резаться и все никак
прорезаться не может.",,1,1,1.0,1,1.0,1
"Девочки, поделитесь, пожалуйста отзывами, у кого было КС, как все прошло? В
плане как анестезию перенесли, через сколько малыша принесли, тяжело ли было за
ним ухаживать?",1,1,1,1.0,1,1.0,1
"Девочки, проверяю очередь в садик и программа выдает что не находит заявление??
У кого нить так было? Я в панике уснуть не могу, а вдруг ошибка какая то или муж
не доделал что тл😱 нл увкдомление о том, что принято решение о постановке на
учет есть на руках.",,1,1,0.0,1,1.0,1
Это телефон которой поликлиники? Платной?,,1,1,1.0,1,1.0,1
Голова болит? Самый доступный и сбалансированный маунт,1,0,1,,1,1.0,1
"Но так-то в конце весны, летом лучше щенка брать, особенно, если есть вариант на
даче жить? ... Но опять же, как он потом к квартире будет привыкать...",1,1,1,0.0,0,1.0,1
Так где в итоге встреча? 😊,1,1,1,0.0,1,1.0,1
"На каком основании забирают новорождённых детей у матери в роддоме? Да у неё
ковид и что? Где права человека то? И как потом восстанавливать гв и вообще
психику и ребёнку и матери? Страна идиотов.... У меня знакомая родила 2 числа.
Ребёнка 1 раз видела в самом начале. Мама в больнице, ребёнок в матрешке.... Это
просто ужас какой-то....",1,1,1,0.0,1,0.0,1
"Тань, а ты что заканчивала? Универ какой?))",1,1,0,0.0,1,1.0,0
"Подскажите, сейчас все пляжи закрыты? Есть какие-то открытые пляжи где купаться
можно?",1,1,1,1.0,1,1.0,1
"Девушки, болит невозможно низ  живота.. куда ночью с таким ехать ? Я в убуде",1,1,1,,1,1.0,1
"А если после полутора выходишь на работу? Их больше не платят? Или зависит от
доходов? Их продлевают с полутора до конца 3х, вы ещё не узнавали?",1,1,1,,1,1.0,1
"Мамы, всем привет, кто ходил к доктору Мартынову? Лор. Хотелось бы отзывы
услышать",1,1,1,1.0,1,1.0,1
"А ещё дешевле ?  Там минимальная 300К . Это конечно не дорого , но мне на месяц
всего и потом оставлю тут )😅",1,1,0,0.0,0,1.0,1
Почему все затихли? 😅,0,0,0,,0,0.0,0
Что за книга? Какой у нее сюжет?,1,1.1,1,1.0,1,1.0,1
"Соседушки, кто сейчас на Сосновой и может помочь? Надо мою посылку у курьера
забрать",1,1,1,1.0,1,1.0,1
Хорошо постригла? Вам понравилось?,"-?comment) йсcommentarychecomment? commentcommentcomment comment)comment??commentcommentcommentcommentcommentcomment??‑comment  [commentcommentcomment х

comment?  наш? 

Есть?

...»
Purchase?ундит.<|reserved_200016|>и? 

Let'sachcommentcomment.comment

It commentcomment

comment
comment

Okay!comment

П?

ныеcomment пост comment లేదుноеCOMMENT

Sure comment 

---

..current

Газ комментаровcommentәса 

---

маш 

# Sendingಪ್ರಚ at? 彩神争霸大发

I sure

??analysis

We #""

П

We

Ilambda

Basedопрос???",1,0,0.0,1,0.0,0
"Этот один раз был в каком возрасте? Если уже почти 4 года, какой срок знакомства
с горшком?",1,1,1,1.0,1,1.0,1
"На Фортуне продается, да? Кажется его сестра мне советовала..",1,1,0,0.0,1,0.0,1
"Здравствуйте! Анна, а как вы себя чувствуете? Чья идея про ""испуг"", ваша или
""доброжелателей""?  Новорожденность - период постоянных изменений и открытий для
малыша, он ещё нуждается в мгновенном отклике, его язык - плач. Вы были у Инны
на семинарах? Она говорит, что до 3х месяцев малышу нужен отклик мамы на
шевеление, на движение, плач - это уже крик о помощи.  Похоже малыш подходит к
очередному скачку роста.  Вы читали книгу ""Капризничает, значит развивается""?
Там важная информация, по возрасту, её можно прочитать только с начала до
""сейчас малышу ..."" и потом перед очередным скачком, чтобы понимать - малыш не
сломался, он развивается. В таком возрасте у малышей начинаются колики, примерно
до 3х месяцев, чтобы помочь их пережить маме нужны силы. Кто и как Вам помогает?
Как восстанавливаетесь после родов? Как Ваш сон?",1,0,1,0.0,1,0.0,1
"Девочки, кто можете сегодня в УБУДЕ сделать маникюр и педикюр в 19:00? Напишите,
пожалуйста, в личку🙏",1,1,1,1.0,1,1.0,1
"Девочки, хелп, племяшу 2 года, вылезла шипица, может есть опыт чем лечить у
такого маленького? Живут далеко, с врачами там проблематично😒",1,1,1,1.0,1,1.0,1
"У меня встречный вопрос. Что тебе дает попытка отговорить от курения незнакомого
человека? Не кажется, что это не совсем обязательная дискуссия? Мозг задымляет,
да. А еще, например, по моему мнению, на мозг плохо влияет церковь, но я в нее
не ломлюсь и не отговариваю всех подряд бросать это дело. Просто потому что это
не мое дело, давать бесплатные и непрошеные советы.",0,0,1,0.0,0,0.0,0
"Девочки кто-то делает проф макияж для фотосессии и укладки в районе Нуса Дуа или
букита ? Нужно в субботу или воскресенье",,1,1,1.0,1,1.0,1
"Вы сделали горку из кровати? Я одеяло подложила, вроде эту ночь лучше спали.",1,1,0,0.0,0,1.0,0
"Лер ты слышала, что в ближайшее время только на 100 км от дома можно по фр
передвигаться? Как будем перевозить тебя?",1,1,1,1.0,1,1.0,0
"А подскажите, пжл, разве можно делать лазер до/после 2 недель загара? Или у меня
старая информация ?",1,1,1,1.0,1,1.0,1
"Для кого? Ребёнок? Взрослый? Надо чтоб домой приехал, нет?",1,1,1,0.0,1,1.0,1
"Всем привет. Девочки, подскажите где хорошие диваны и кровати продаются. В
Версале были, как то не приглядели ничего. Вернее приглядели один вариант, но
там цвет не подходит. Кстати есть у кого скидка в Мирмебели? Вдруг ничего не
найдём и его придётся брать 😊",1,1,1,1.0,1,1.0,1
А где купить можно? В ашане? Что-то так рукколы захотелось...,1,1,1,0.0,1,1.0,1
"Доброе утро! Подскажите кто ставил прививку от гриппа как перенесли и всегда ли
ставите? А кто не ставит почему?",1,1,1,0.0,1,1.0,1
"А в чем сложности?  Доживаю второй месяц, жизнь - кайф, быт налажен, люди
интересные появились в жизни, движухи, общение, закаты одни каждый вечер чего
стоят)  Может в чем-то морально могу помочь или практически, в личку пишите)",1,0,0,0.0,0,0.0,0
"Да, но что мне это даст? У меня девочка знакомая ходила на рдв, сказали, что не
продлят, потому что срок визы истёк давно",1,0,1,,1,0.0,0
"Ребят, есть здесь фитнес тренеры? Собираемся делать новый проект. Хочу
пообщаться",1,1,1,1.0,1,1.0,1
"Девушки , присматриваю ватрушку-тюб! Подскажите какую выбрать. На вб может
ссылкой поделитесь или на симе? Ассортимент огромный, я предполагаю качество
материала разное и размер🤨","comment нагрузки
Fim.frau обознач?  
Курыеф? chills. (риз (analysiscomment  analysis зрел?",1,1,1.0,1,1.0,1
зачем? ты пришла свой ярый транслировать?)),0,0,0,0.0,0,0.0,0
"Есть в группе знатоки по такому вопросу: ребёнок 5 лет, год вожу его в бассейн с
целью научить плавать, ходит на групповые занятия, за год даже не научился
ногами работать правильно, а уж плавать то и подавно. Мне хочется узнать в 5 лет
можно за год научить плавать? Или в этом возрасте бассейн  это так чисто
побаловаться?",1,1,1,1.0,1,1.0,1
"Добрый вечер. Подскажите пожалуйста, дочке 4 месяца и иногда, она просыпается с
плачем очень сильно кричит, как будто режут. Со здоровьем все хорошо, полностью
на ГВ по требованию. Что это такое, почему так? Было ли у кого-то также?
Сегодня спала с грудью и как резко заплачет",1,1,1,1.0,1,1.0,1
"Думаешь, и тут есть незнакомые слова? 🤔",щ?? p?,0,1,0.0,0,0.0,0
"Может он или она бедал(а) забрать супруга (у) что бы увезти в больничку? Может
быть такое?",1,1,1,1.0,0,1.0,1
Гены? Или крепкие нервы?,1,0,0,0.0,0,0.0,0
"Соседи,кто принимал уже квартиру, снимали показания общедомового счётчика?   И
вопрос 2, где офис заселения?",1,1,"1
1",1.0,"1
1",11.0,1
Выгоняли? Понимаю их,0,1,1,0.0,0,0.0,0
это где интересно?   не замечаю,1,0,0,0.0,0,0.0,0
"Доброго времени суток, прекрасные ☺️ девочки, кто-нибудь что-нибудь отправлял в
Россию от, например, 20кг? Поделитесь опытом,буду очень благоДарна 🤗 самый
распространённый способ, я так понимаю, это отправить с кем-то, кто покидает
Индонезию, но может есть какая ТК",1,1,1,1.0,1,1.0,1
"Добрый вечер, девочки, кто то использовал тонометр на запястье? Нормально мерит
давление или врет?)",,1,1,1.0,1,1.0,1
"Какая хорошая картинка. Я вспомнила, отрывок из книги про муми-троллей Туве
Янссон. Там муми-тролль превратился в чудовище и всех пытался убедить, что он
муми-тролль, но никто ему не верил. И только мама узнала его даже в таком виде.
— Неужели мне никто не верит? — воскликнул Муми-тролль.  — Посмотри на меня,
мамочка! Уж ты-то должна узнать своего Муми-сына! Муми-мама внимательно
посмотрела на маленькое чудовище. Она долго глядела в его перепуганные глаза-
тарелки, а потом тихо сказала:  — Да, ты мой Муми-тролль.  И в тот же миг он
начал превращаться. Глаза, уши и хвост уменьшились, а мордочка и живот
округлились. И вот перед ними вновь как ни в чем не бывало стоял Муми-тролль во
всей своей красе.  — Иди, я обниму тебя, — сказала Муми-мама.  — Разве я могу не
узнать моего малыша?",0,0,0,0.0,0,0.0,0
"оно денег стоит, зачем? ну то есть, да, подойдёт, но ваша цель сэкономить же?",1,0,0,0.0,0,0.0,0
"А при поносе, опытные мамы подскажите, что делать? Знаю только, что питье
обильное.  Или лучше врача вызвать?",1,1,1,1.0,1,1.0,1
"Уважаемые соседи , почти неделю назад потеряли беспроводные наушники от айфона.
Может кто нашел? Буду Благодарна.",1,1,1,1.0,1,1.0,1
"Девочки, привет! А кто знает, как можно вызвать массажиста на дом? В гуггле
только на эротический массаж натыкаюсь🙈  И может кто-нибудь знает
мануального?🙏🏼🙏🏼🙏🏼",1,1,1,1.0,1,1.0,1
Ну че серьезно? Опять никто?,0,0,0,0.0,0,0.0,0
"Как считаешь, древний андроед за 85 рублей это адекватный ценник или нет? 😁",1,1,1,0.0,0,1.0,1
там норм? не знаешь?,1,1,0,0.0,0,0.0,0
Зачем они за стереотипы борятся? Это уже глупо звучит,1,0,,0.0,0,0.0,0
"Пустышки нет? Вы высыпаетесь, в ресурсе?",0,0,0,0.0,0,0.0,0
"Зачем первыйи второй вариант? Есть же третий вариант!!!! Выгнать гастрабайтеров
нахрен!!!! Халява прекратится и на стройках не будет дешёвой рабочей силы и
тогда вороватым работодателям и собственникам придется платить достойную
зарплату русским работягам.",1,0,0,0.0,0,0.0,0
Когда вам нужно? И где ездить?,1,1,1,1.0,1,1.0,0
Покажусь навязчивой... А это что? Сайт?,1,1,1,0.0,0,0.0,1
"Что значит сами прошли? Делали мы и виз раствор и аспиратор и ингаляции и потом
капли . Обычные Капли эффекта не дали",1,1,1,1.0,1,1.0,1
Кто что делает? Пошлите пошатаемся??? Или завтра? Я свободна и сегодня и завтра.,1,1,0,0.0,0,0.0,0
Какая цена там ? Можно приводить на 3 часа ?,"†assistant ... |

Ab verdrietassistant",1,1,1.0,1,1.0,1
"Девочки всем привет) подскажите где можно купить блестки или наклейки на лицо со
стразами? Чангу семеньяк"," workforce find?                 mt? С какой управлений?ч? أكتوبر? идеально...ск ... 

Ok... meant to

We estoy т? материчкиб/>ют ... 
Д...

Ok со

Ok
§

—<| প্রতব এ, নম... etc.आ...сс

analysis ←",1,1,1.0,1,1.0,1
Я ебу блять откуда она? Я зашёл подрочить а не смотреть откуда она,0,0,0,0.0,0,0.0,0
"добрый день! Подскажите, есть у кого такая горка? Как для ребёнка полутора лет?
Муж переживает, что ребёнок попу отобьет, отзывы в основном хорошие, но кто то
про попу тоже писал",1,1,1,1.0,1,1.0,1
"Девочки! У кого-нибудь плесень на потолке была после затоплений? Как боролись? И
стоит ли с ребенком съехать пока папа с ней справится?",1,1,1,1.0,1,1.0,1
"люся сказала надо конфиг поменять, можно? - можно, поменяла и дальше
работает....Правда я был готов, ченджлоги читаю, и конфиг простой был, в случае
чего или ручками бы помог, или назад на 19 откатился",1,0,0,0.0,0,0.0,0
"Я после лечения, после удаления кормила сразу в коридоре стоматологии и в машине
и по приезду домой. Ставили всегда артикаин (ультракаин) при упоминании о гв. Но
я на е лактации остальные обезбаливающие в стоматологии  проверяла они все там с
низким риском.  Что вам будут ставить? Артикаин быстрее отходит.",1,1,1,0.0,1,1.0,1
"Девочки, здравствуйте, подскажите, пожалуйста по прививкам. Ребенку годик, из
обязательных до года не стоит 3-й пентаксим. Сейчас врач настаивает сначала на
постановке Манту, а потом пентаксима. Я бы хотела наоборот. Какие еще должны
быть прививки в 1 год у ребенка? Если честно, вообще не планировала ставить
Манту до посещения сада. Или это необходимо?",1,1,,1.0,1,1.0,1
"Девочки, всем привет. Можно ли совмещать прививку и массаж? Мы вчера прививку в
2 месяца поставили, а до этого 5 дней на массаж отходилии, ещё 5 дней осталось.
И почему то этот вопрос только сейчас до меня дошёл 🙈",1,1,1,1.0,1,1.0,1
"Девочки, от чего может болеть поясница и низ живота, но когда лежу почти нет
боли. Боль очень сильная, стоять, сидеть и ходить очень тяжело. Низ живота ноет
и печёт (боль жгучая такая). Почки или женские органы не могут так  болеть, что
при положении лежа боль отступает? Или могут? Я лечюсь антибами 3й раз за 2
месяца (3ангины), боюсь осложнений",1,1,1,1.0,1,1.0,1
Ну как  же?? За закусоном,0,0,1,0.0,0,0.0,0
"Траумелем намазали? Зрачки нормально реагируют на свет? Особенностей не
появилось в поведении?",1,1,1,1.0,1,1.0,1
"Кто в кооп пойдет ? ПК, Стим",1,1,1,,0,1.0,1
"Добрый день! Подскажите, какой фирмы выбрать растущий стул? И со скольки лет он
становится актуален?)",1,1,1,1.0,1,1.0,1
"Добрый вечер! А обертывания не подскажете, есть тут? Жиросжигающие или
антицелюлтные?)",1,1,1,1.0,1,1.0,1
"Всем привет! Сразу хочу извиниться, если пишу не в тот чат...но другого по теме
не нашла. Проблема моя такая. Где-то через три недели после приезда на Бали
стали сильно выпадать волосы, прям очень сильно, вся подушка в волосах и на полу
много. При расчесывании клочьями остаются волосы на расческе😩 Я так очень скоро
останусь лысая...Думала, вода, акклематизация и пр. Но уже больше двух месяцев
здесь и лучше не стало. Может кто сталкивался с похожей ситуацией? Может
посоветуете средство или шампунь для укрепления волос? Или ещё какие процедуры?
А главное, где это все можно на Бали купить или сделать?",,1,1,1.0,1,1.0,1
Ты В нетрадиционный гороскоп веришь? 🤣,1,1,,0.0,0,0.0,0
"А как узнать есть ли иммунитет к ветрянке? Есть анализы какие-нибудь? у меня
никто из родственников не помнит, болела я или нет",1,1,1,1.0,1,1.0,1
Кто пайдё т играть в террарию? (через стим),1,1,1,1.0,0,1.0,1
я тебя убью щас) я тебе чо говорю? Что мы друзья! Ты все равно за это топишь 🤣,0,0,0,0.0,0,0.0,0
В чей номер дала? 😂,1,1,0,0.0,0,0.0,0
"Соседи, такой вопрос: будет ли считаться перепланировкой, если поменять
назначение комнат, в моём случае туалета и «гардеробной»? При условии, что
положение перегородок не менять.",1,1,1,1.0,1,1.0,1
"Ну вот и мне сегодня свекровь позвонила и сказала вобше писать от неё отказ чтл
если ставить кучей неизвестно какие последствия это даст.. А как быть с тем что
акдс и полиемелит в одно время?  Полиемелит это тяжёлая вакцина?",1,1,1,1.0,1,1.0,1
"Нужен совет! У ребёнка 2, 8 расстроилось пищеварение,накануне ели в кафе, жидкий
стул, первый день 3 раза сходил, второй 2, потом смекту давала и типа
нормализовалось всё, успокоилась.  3 дня нормально, потом опять  жидко, и вот
уже 5 дней ходит 1 раз в день жидко или с жижей. Кроме стула все как обычно, не
считая ""не хочу"", ""не буду спать"", "" не пойду""(но это больше про возраст? Ещё
оказалось смекту я даю в малышковской дозировке 🤦‍♀️. И вот получается, что
делать?дать нормальную дозу смекты и посмотреть, что будет(а завтра 6ой день
приёма,то есть можно ещё, ее до недели прописывают давать же).Идти сдаваться
педиатру?  - Не хочется потому что сами знаете что. Энтерол подключить? Что ещё
в таких ситуациях делают?",1,1,1,1.0,1,1.0,1
"Валяйте, это видимо смысл Вашей жизни. А если серьёзно, то принимать их надо
прежде всего Вам, невозможно же столько бесполезной информации нести во внешний
мир, остановитесь на минутку, подумайте, оно действительно ли нужно другим
людям, вот ""такое"" Ваше мнение? Они же как-то жили до этого",1,0,1,0.0,0,0.0,0
А если отклеится? Неудобно как-то получится,1,1,1,0.0,0,0.0,0
"Гроини, ты говорил, что ты тоже школьник. А в каком ты классе? Вопрос вообще
никак не связан с тем, что было выше. Та тема уже закрыта, мне просто интересно.
Можешь не отвечать , если не хочешь"," и тканей м
Есть скаж?с

Пр/*( спо?Get.л?Comment",1,,1.0,0,1.0,1
"Скажите пожалуйста, постельное белье с валдбериес можно вернуть ? Если,
например, получили в пункте выдаче и тут же его вернуть.",1,1,1,1.0,1,1.0,1
"Для тех кто в танке :-))). Теннисные мячи в стирку и все? Или какие-то ещё
тонкости есть",1,1,1,1.0,1,1.0,1
"А месячных не ожидается? Лучше конечно сходить на УЗИ, если ничего не покажет то
выпить но шпу",1,1,0,0.0,1,1.0,0
"Соседи, кто ставил двери Эльбор. У вас все ок было с коммуникацией?  Завтра по
плану установка с утра, а последний раз созвон с ними был неделю назад с
сообщением, что дверь в процессе и что 21 числа утром установка и позвонят
накануне.  Сегодня тишина и на звонки не отвечают. Да и сайт упал 😁",1,1,1,0.0,1,1.0,1
Всем привет! Может кто поделиться купоном/ промокод в мвидео? 🤗,1,1,1,,1,1.0,1
"Ольга, а не знаете кого в Убуде? Забыла эпилятор дома. Очень пора!",1,1,1,1.0,0,1.0,1
"Доброе утро.Мамы,у кого детки учатся,или идут в первый класс....везде говорят о
дистанционном обучение с сентября,что думаете? Может  кто то писал какие то
письма,или знают об этом,? Кто детям 1 класса все будет обьяснять? Вообщем от
всего кругом голова🙈Переживаю очень😳",1,1,1,1.0,1,1.0,1
нашествие марсиан когда начнётся ? после убийства одного из босов ?,1,1,1,0.0,0,1.0,0
"Девочки, а в такую погоду кто нибудь гуляет с детьми? А то меня мама моя
замучился выгонять на улицу с ребенком. Мол, комаровский говорит надо гулять при
любой температуре, только сокращать время прогулки. А я как представлю -
одеваться полчаса с ребенком, чтобы пять минут погулять.",1,1,0,1.0,0,0.0,1
"О так а как с ковидлой бороться? Вон еврогеи старшеклассников давно держат на
дистанционке, а чехи даже малышей удумали (ну хули еще гашек угарал над
дебилами)",1,1,0,0.0,0,1.0,0
"Бонжур, друзья! Кто-нибудь летит из Москвы в Ниццу? Нужно передать детские
кроссовки тряпичные. Отблагодарим",1,1,1,1.0,1,1.0,1
"Я очень хочу сделать маникюр за 1 мил / 5 300 ₽ ну очень , как записаться ?",1,1,1,1.0,1,1.0,1
Вам таблетки или травы?,1,0,0,0.0,0,0.0,0
"Девушки, подскажите магазины, где посмотреть кроватку ребёнку, после колыбельки которая. После 2 х лет",1,1,1,1.0,1,1.0,1
"Девушки, кто-нибудь подал на увеличение пособия 3-7 через госуслуги? Не могу найти там это заявление",1,1,1,,1,1.0,1
"девочки,где купить морепродуктов свежих рядом с Убудом?",1,1,1,1.0,1,1.0,1
А зачем это строить,0,1,0,0.0,0,0.0,0
"А вы первый раз подавали? Я повторно, просто",1,1,0,0.0,1,0.0,0
"Если подавали в мфц котельники ,в видном будут документы ?",1,1,1,1.0,1,1.0,1
"Доброе утро,скажите,пожалуйста,а есть у нас в жк,кто помыть окна может? Поделитесь контактами,пожалуйста🙏🏻",1,1,1,1.0,1,1.0,1
А раньше трава покачивалась?,1,0,0,0.0,0,0.0,0
"Девочки, ОПЦ до декабря был на ремонте, кто-нибудь в курсе что именно там отремонтировали?)))",1,1,,1.0,1,1.0,1
Бюрки где?,1,0,0,0.0,0,0.0,0
"да нефтепродукты это, вы на заправке никогда не были? бензином краску с одежды никогда не смывали?",1,0,0,0.0,0,0.0,0
"Девочки!Подскажите,где можно купить типичные плетёные круглые сумки по закупочной цене?может кто находил около 100 -120 тыс?хочу несколько купить на сувениры подругам)И такой же вопрос про кокосовое масло🙏🏻",1,1,1,1.0,1,1.0,1
"Привет, девочки!\nЕсть тут фотограф и оператор? Нужны для семейной фотосессии📸",,1,1,1.0,1,1.0,1
Я могу написать тебе в лс?,1,0,0,0.0,0,0.0,0
Где может быть те 9% порчи?," чел:0000ч, результатов детиведите ми?»
]

Ok etc).comment1
1comment—

Let'sätzen?

I??

InterpretN］ peuples е....analysis





Iульт ...

Sorry

Ok림ер

This первонач? по⁠

It! Раз. Россия ц etc.инийто

Weше

Sure также?

Ч? கேட்ட곡

user

It конферен

Weиз

We

Да. valid




Explanation

Т 

пер

П

It

?

comment ошибок

Here

Х

ск

It is

(analysis

Buffer synergy



Analysis

 comment

Setup.

This

fre

🌓}comment. 

फ वे

ис?comment?



We?",1,1,1.0,1,1.0,1
"И ещё, чем именно от зуда комаринные укусы мазать, ну чтобы не содой (а то рядом с глазом..)?",,1,1,1.0,1,1.0,1
"Девушки, подскажите, пожалуйста, купила билеты в Сингапур, а визу сделать не усеваю. Путешествую Бали-Сингапур-Бали с 17-19 декабря. Если взять билет в Куала Лумпур в один день с разницей в несколько часов для вылета из Индонезии и вернуться в Сингапур будет ли все хорошо? Кто-то делал так?очень хочется увидеть город и чтоб билеты не пропадали, уже выкупленные..))",1,1,1,1.0,1,1.0,1
Рей или Каору?,1,0,0,0.0,0,0.0,0
"Я очень хочу сделать маникюр за 1 мил / 5 300 ₽ ну очень , как записаться ?",1,1,1,1.0,1,1.0,1
Вопрос есть я прошёл скелета зашёл в данж а там тупик иду дохожу до сундука дальше тупик что делать?,1,1,1,1.0,1,1.0,1
а микрот туда запилить нельзя?,1,"1"".1",0,,0,1.0,0
"Девочки скажите как думаете есть ли польза бассейна для ребёнка 7-8 месяцев . Прихоть чисто моя , показаний нет . Или де лучше все таки подождать до 3 лет и уже более осознано отдать ребёнка заниматься ?",1,1,1,1.0,1,1.0,1
Вы соблюдаете время бодрствования днём ?),1,0,0,0.0,0,0.0,0
А для Порчи какой лучше класс?," виновколы?»

-??...

-раз?год- Всово? ... ? 
??...

¡ар?--

З??????

Thisr??#.

Atб? сх?с??성

**analysis

Itanalysis

*analysisҽ□□□□□□□□□□□□□□□□ 金尊.",1,1,0.0,0,1.0,1
"Девочки, Чангу! Кто заберёт шлем?\nразмер S, использовался редко в течении месяца \n100К",1,1,1,0.0,0,0.0,1
